 --- BEGIN HEADER ---
 Mass input into layers of the atmosphere by planetesimal breakup.
 Columns:
 [Height (cm)]  [mass input (g/cm^3/s)]
 --- END HEADER ---
 
 --- BEGIN DATA ---
   408990000000.000       2.155195776864705E-025
   408890000000.000        0.00000000000000     
   407940000000.000       6.404135707399719E-029
   406320000000.000       7.070293131450702E-029
   403970000000.000       1.128949932465716E-029
   397710000000.000       1.552291820572130E-027
   385670000000.000       1.877897035279125E-027
   373640000000.000       1.117316238013698E-027
   358950000000.000       3.071694598456109E-027
   344180000000.000       2.547046117870398E-027
   330280000000.000       3.262603756575687E-027
   306280000000.000       5.197074286068787E-027
   275450000000.000       9.862015803205159E-027
   249330000000.000       1.636326650553860E-026
   229420000000.000       3.353172024121179E-026
   207990000000.000       5.344392803071999E-026
   194630000000.000       1.017398265220227E-025
   174260000000.000       1.795360705953171E-025
   158460000000.000       3.401247146389193E-025
   147940000000.000       6.332392650099263E-025
   139120000000.000       8.455832317098934E-025
   128740000000.000       1.474010570310018E-024
   121540000000.000       2.824231402407262E-024
   115360000000.000       3.206394423393148E-024
   112830000000.000       6.139554061136773E-024
   106910000000.000       6.924206571530295E-024
   102720000000.000       1.029539550623102E-023
   97399000000.0000       1.458052083182416E-023
   92471000000.0000       1.923361041069371E-023
   87386000000.0000       3.347389462493190E-023
   83758000000.0000       3.804795774200727E-023
   81158000000.0000       6.303754033145765E-023
   78128000000.0000       6.915719929878864E-023
   75711000000.0000       1.039409985191961E-022
   72188000000.0000       1.004774060587326E-022
   70121000000.0000       1.741550107817910E-022
   67457000000.0000       1.833986706193398E-022
   64759000000.0000       2.365733631306941E-022
   60858000000.0000       4.045332016264776E-022
   58296000000.0000       4.571750578965712E-022
   55735000000.0000       7.758208186127330E-022
   53737000000.0000       8.805863740132830E-022
   51781000000.0000       1.114268374806557E-021
   48607000000.0000       1.666974719570875E-021
   45672000000.0000       2.400469008644769E-021
   43268000000.0000       3.620409001832707E-021
   40678000000.0000       5.168846709972152E-021
   38755000000.0000       6.683457861666875E-021
   37104000000.0000       9.525526865265114E-021
   35252000000.0000       1.318943117376031E-020
   33799000000.0000       1.736010118817478E-020
   32210000000.0000       2.155451843679398E-020
   30871000000.0000       2.887526252885990E-020
   29607000000.0000       3.926977750348654E-020
   28511000000.0000       4.685569819142886E-020
   26891000000.0000       6.703365712300843E-020
   25720000000.0000       8.868433443031715E-020
   24357000000.0000       1.279769695350040E-019
   23140000000.0000       1.490954768179922E-019
   22274000000.0000       2.263826977655376E-019
   20947000000.0000       2.970194089650075E-019
   19703000000.0000       4.722155090783094E-019
   18232000000.0000       6.007002434763087E-019
   17359000000.0000       9.716403849033841E-019
   16535000000.0000       1.400984702378022E-018
   15634000000.0000       2.210388183479825E-018
   14930000000.0000       2.721228026249925E-018
   14449000000.0000       3.739596521504035E-018
